"","Gene.Description","Gene.Accession.Number","index"
"1","AFFX-BioB-5_at (endogenous control)","AFFX-BioB-5_at",1
"2","AFFX-BioB-M_at (endogenous control)","AFFX-BioB-M_at",2
"3","AFFX-BioB-3_at (endogenous control)","AFFX-BioB-3_at",3
"4","AFFX-BioC-5_at (endogenous control)","AFFX-BioC-5_at",4
"5","AFFX-BioC-3_at (endogenous control)","AFFX-BioC-3_at",5
"6","AFFX-BioDn-5_at (endogenous control)","AFFX-BioDn-5_at",6
"7","AFFX-BioDn-3_at (endogenous control)","AFFX-BioDn-3_at",7
"8","AFFX-CreX-5_at (endogenous control)","AFFX-CreX-5_at",8
"9","AFFX-CreX-3_at (endogenous control)","AFFX-CreX-3_at",9
"10","AFFX-BioB-5_st (endogenous control)","AFFX-BioB-5_st",10
"11","AFFX-BioB-M_st (endogenous control)","AFFX-BioB-M_st",11
"12","AFFX-BioB-3_st (endogenous control)","AFFX-BioB-3_st",12
"13","AFFX-BioC-5_st (endogenous control)","AFFX-BioC-5_st",13
"14","AFFX-BioC-3_st (endogenous control)","AFFX-BioC-3_st",14
"15","AFFX-BioDn-5_st (endogenous control)","AFFX-BioDn-5_st",15
"16","AFFX-BioDn-3_st (endogenous control)","AFFX-BioDn-3_st",16
"17","AFFX-CreX-5_st (endogenous control)","AFFX-CreX-5_st",17
"18","AFFX-CreX-3_st (endogenous control)","AFFX-CreX-3_st",18
"19","hum_alu_at (miscellaneous control)","hum_alu_at",19
"20","AFFX-DapX-5_at (endogenous control)","AFFX-DapX-5_at",20
"21","AFFX-DapX-M_at (endogenous control)","AFFX-DapX-M_at",21
"22","AFFX-DapX-3_at (endogenous control)","AFFX-DapX-3_at",22
"23","AFFX-LysX-5_at (endogenous control)","AFFX-LysX-5_at",23
"24","AFFX-LysX-M_at (endogenous control)","AFFX-LysX-M_at",24
"25","AFFX-LysX-3_at (endogenous control)","AFFX-LysX-3_at",25
