"","Gene.Description","Gene.Accession.Number","index","num_cor","a_num_cor","cat_cor","a_cat_cor","tot_cor"
"4847","Zyxin","X95735_at",4847,-0.822284116440346,0.822284116440346,-0.744107744107744,0.744107744107744,1.56639186054809
"2288","DF D component of complement (adipsin)","M84526_at",2288,-0.743485341012926,0.743485341012926,-0.809039834955891,0.809039834955891,1.55252517596882
"461","Liver mRNA for interferon-gamma inducing factor(IGIF)","D49950_at",461,-0.75780588398854,0.75780588398854,-0.786394042067999,0.786394042067999,1.54419992605654
"5039","LEPR Leptin receptor","Y12670_at",5039,-0.776499228116369,0.776499228116369,-0.748455199183749,0.748455199183749,1.52495442730012
"1882","CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage)","M27891_at",1882,-0.72159955957145,0.72159955957145,-0.715419174441061,0.715419174441061,1.43701873401251
"2402","Azurocidin gene","M96326_rna1_at",2402,-0.691596311896271,0.691596311896271,-0.736300987145685,0.736300987145685,1.42789729904196
"4499","CHRNA7 Cholinergic receptor; nicotinic; alpha polypeptide 7","X70297_at",4499,-0.609121841250917,0.609121841250917,-0.786490336358162,0.786490336358162,1.39561217760908
"6281","MYL1 Myosin light chain (alkali)","M31211_s_at",6281,0.596165668882606,0.596165668882606,0.791898771536,0.791898771536,1.38806444041861
"1834","CD33 CD33 antigen (differentiation antigen)","M23197_at",1834,-0.770699550003662,0.770699550003662,-0.61270298124645,0.61270298124645,1.38340253125011
"3504","Putative cyclin G1 interacting protein mRNA; partial sequence","U61836_at",3504,-0.587749880443019,0.587749880443019,-0.793554944266504,0.793554944266504,1.38130482470952
"2121","CTSD Cathepsin D (lysosomal aspartyl protease)","M63138_at",2121,-0.71059637629284,0.71059637629284,-0.64909559066458,0.64909559066458,1.35969196695742
"760","CYSTATIN A","D88422_at",760,-0.561016264336624,0.561016264336624,-0.779717084908467,0.779717084908467,1.34073334924509
"1926","PTX3 Pentaxin-related gene; rapidly induced by IL-1 beta","M31166_at",1926,-0.552716361374272,0.552716361374272,-0.786394042067999,0.786394042067999,1.33911040344227
"1630","Inducible protein mRNA","L47738_at",1630,0.538804995704462,0.538804995704462,0.80016336600129,0.80016336600129,1.33896836170575
"6201","INTERLEUKIN-8 PRECURSOR","Y00787_s_at",6201,-0.732108518237865,0.732108518237865,-0.59271371452665,0.59271371452665,1.32482223276452
"2394","PLCB2 Phospholipase C; beta 2","M95678_at",2394,-0.634881612197707,0.634881612197707,-0.672735722682654,0.672735722682654,1.30761733488036
"6376","PFC Properdin P factor; complement","M83652_s_at",6376,-0.685042499840327,0.685042499840327,-0.609836721136306,0.609836721136306,1.29487922097663
"6200","Interleukin 8 (IL8) gene","M28130_rna1_s_at",6200,-0.709204329969835,0.709204329969835,-0.571894571033144,0.571894571033144,1.28109890100298
"5808","Epican; Alt. Splice 11","HG2981-HT3127_s_at",5808,-0.633515806042159,0.633515806042159,-0.626442445844333,0.626442445844333,1.25995825188649
"6219","GB DEF = Neutrophil elastase gene; exon 5","M20203_s_at",6219,-0.513437217332608,0.513437217332608,-0.74448116122135,0.74448116122135,1.25791837855396
"6218","ELA2 Elastatse 2; neutrophil","M27783_s_at",6218,-0.510787739554304,0.510787739554304,-0.74448116122135,0.74448116122135,1.25526890077565
"4375","DAGK1 Diacylglycerol kinase; alpha (80kD)","X62535_at",4375,0.464872004362414,0.464872004362414,0.790374188612389,0.790374188612389,1.2552461929748
"2354","CCND3 Cyclin D3","M92287_at",2354,0.5642566539345,0.5642566539345,0.689864461987263,0.689864461987263,1.25412111592176
"6645","Butyrophilin (BTF5) mRNA","U90552_s_at",6645,0.505569552199168,0.505569552199168,0.744107744107744,0.744107744107744,1.24967729630691
"2242","PEPTIDYL-PROLYL CIS-TRANS ISOMERASE; MITOCHONDRIAL PRECURSOR","M80254_at",2242,-0.730316982768464,0.730316982768464,-0.515610261453368,0.515610261453368,1.24592724422183
"3252","GLUTATHIONE S-TRANSFERASE; MICROSOMAL","U46499_at",3252,-0.582002162032227,0.582002162032227,-0.65577522998614,0.65577522998614,1.23777739201837
"1247","CMKBR7 Chemokine (C-C) receptor 7","L08177_at",1247,-0.627744519485639,0.627744519485639,-0.609836721136306,0.609836721136306,1.23758124062195
"6373","ITGAX Integrin; alpha X (antigen CD11C (p150); alpha polypeptide)","M81695_s_at",6373,-0.703943571946995,0.703943571946995,-0.530269831377884,0.530269831377884,1.23421340332488
"284","KIAA0035 gene; partial cds","D21262_at",284,0.387388301615145,0.387388301615145,0.835710894037345,0.835710894037345,1.22309919565249
"2642","MB-1 gene","U05259_rna1_at",2642,0.549412776823265,0.549412776823265,0.669112720195347,0.669112720195347,1.21852549701861
"1615","Quiescin (Q6) mRNA; partial cds","L42379_at",1615,-0.606399689361572,0.606399689361572,-0.609836721136306,0.609836721136306,1.21623641049788
"1779","MPO Myeloperoxidase","M19507_at",1779,-0.604874807210633,0.604874807210633,-0.609145070743877,0.609145070743877,1.21401987795451
"1685","Terminal transferase mRNA","M11722_at",1685,0.450520417411636,0.450520417411636,0.762831188344723,0.762831188344723,1.21335160575636
"6561","Metargidin precursor mRNA","U41767_s_at",6561,-0.639685805485966,0.639685805485966,-0.572491695271261,0.572491695271261,1.21217750075723
"2233","NUCLEOLYSIN TIA-1","M77142_at",2233,0.460204968307695,0.460204968307695,0.748455199183749,0.748455199183749,1.20866016749144
"6215","MPO from  Human myeloperoxidase gene; exons 1-4./ntype=DNA /annot=exon","M19508_xpt3_s_at",6215,-0.564638468281916,0.564638468281916,-0.640520702449788,0.640520702449788,1.2051591707317
"1120","SNRPN Small nuclear ribonucleoprotein polypeptide N","J04615_at",1120,0.503384116071612,0.503384116071612,0.694777332344019,0.694777332344019,1.19816144841563
"3320","Leukotriene C4 synthase (LTC4S) gene","U50136_rna1_at",3320,-0.828290112200612,0.828290112200612,-0.369274472937998,0.369274472937998,1.19756458513861
"3189","HOXA9 Homeo box A9","U41813_at",3189,-0.4902428911844,0.4902428911844,-0.689864461987263,0.689864461987263,1.18010735317166
"248","ADM Adrenomedullin","D14874_at",248,-0.660589155815154,0.660589155815154,-0.518655987634533,0.518655987634533,1.17924514344969
"1604","RB1 Retinoblastoma 1 (including osteosarcoma)","L41870_at",1604,0.427673372800008,0.427673372800008,0.749464734950713,0.749464734950713,1.17713810775072
"5593","Transcriptional activator hSNF2b","D26156_s_at",5593,0.595925985453614,0.595925985453614,0.574208203579803,0.574208203579803,1.17013418903342
"5954","CA2 Carbonic anhydrase II","Y00339_s_at",5954,-0.628565324293075,0.628565324293075,-0.540962746074711,0.540962746074711,1.16952807036779
"4973","RABAPTIN-5 protein","Y08612_at",4973,0.524424644547471,0.524424644547471,0.642419747477002,0.642419747477002,1.16684439202447
"2275","TRANSCRIPTION FACTOR RELB","M83221_at",2275,-0.641752835752076,0.641752835752076,-0.519269537883926,0.519269537883926,1.161022373636
"5373","NFKB2 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)","S76638_at",5373,-0.562518304275709,0.562518304275709,-0.594797118224465,0.594797118224465,1.15731542250017
"2015","PPBP Connective tissue activation peptide III","M54995_at",2015,-0.452233243022285,0.452233243022285,-0.690957659068152,0.690957659068152,1.14319090209044
"6539","Epb72 gene exon 1","X85116_rna1_s_at",6539,-0.697793537373116,0.697793537373116,-0.441632633842516,0.441632633842516,1.13942617121563
"6378","NF-IL6-beta protein mRNA","M83667_rna1_s_at",6378,-0.651066579272876,0.651066579272876,-0.488215488215488,0.488215488215488,1.13928206748836
"6702","LPAP gene","X97267_rna1_s_at",6702,0.535727265158287,0.535727265158287,0.599815926113802,0.599815926113802,1.13554319127209
"1953","Fc-epsilon-receptor gamma-chain mRNA","M33195_at",1953,-0.576948729952888,0.576948729952888,-0.556598347924993,0.556598347924993,1.13354707787788
"6271","Tryptase-III mRNA; 3' end","M33493_s_at",6271,-0.496759039248442,0.496759039248442,-0.630862570579901,0.630862570579901,1.12762160982834
"4190","FOS-RELATED ANTIGEN 2","X16706_at",4190,-0.514752562958917,0.514752562958917,-0.612083729456657,0.612083729456657,1.12683629241557
"1241","IEF SSP 9502 mRNA","L07758_at",1241,0.497942075486173,0.497942075486173,0.626442445844333,0.626442445844333,1.12438452133051
"4188","HOXB2 Homeo box B2","X16665_at",4188,-0.512292994395709,0.512292994395709,-0.609145070743877,0.609145070743877,1.12143806513959
"5833","MANB Mannosidase alpha-B (lysosomal)","U05572_s_at",5833,-0.470619280345965,0.470619280345965,-0.649891109624295,0.649891109624295,1.12051038997026
"321","Transmembrane protein","D26579_at",321,-0.576959543504174,0.576959543504174,-0.540288808330514,0.540288808330514,1.11724835183469
"3847","GB DEF = Homeodomain protein HoxA9 mRNA","U82759_at",3847,-0.747056065037889,0.747056065037889,-0.369274472937998,0.369274472937998,1.11633053797589
"6005","TIMP2 Tissue inhibitor of metalloproteinase 2","M32304_s_at",6005,-0.65529217685847,0.65529217685847,-0.460273670604622,0.460273670604622,1.11556584746309
